100;100;100;300;100;100;300;300;100;100;300;100
100;100;300;300;100;300;300;300;300;100;300;300
100;100;100;100;100;300;300;100;300;300;100;100
100;100;100;100;300;100;100;300;300;100;100;300
100;300;100;100;300;300;300;300;300;300;300;100
300;100;100;300;100;300;300;300;300;300;300;100

140;140;140;340;140;140;340;340;140;140;340;140
140;140;340;340;140;340;340;340;340;140;340;340
140;140;140;140;140;340;340;140;340;340;140;140
140;140;140;140;340;140;140;340;340;140;140;340
140;340;140;140;340;340;340;340;340;340;340;140
340;140;140;340;140;340;340;340;340;340;340;140
