100;100;100;300;100;100;300;300;100;100;300;100
100;100;300;300;100;300;300;300;300;100;300;300
100;100;100;100;100;300;300;100;300;300;100;100
100;100;100;100;300;100;100;300;300;100;100;300
100;300;100;100;300;300;300;300;300;300;300;100
300;100;100;300;100;300;300;300;300;300;300;100

700;700;100;900;700;100;900;900;100;700;900;100
700;700;300;900;700;300;900;900;300;700;900;300
700;700;100;700;700;300;900;700;300;900;700;100
700;700;100;700;900;100;700;900;300;700;700;300
700;900;100;700;900;300;900;900;300;900;900;100
900;700;100;900;700;300;900;900;300;900;900;100

400;400;400;600;400;400;600;600;400;400;600;400
400;400;600;600;400;600;600;600;600;400;600;600
400;400;400;400;400;600;600;400;600;600;400;400
400;400;400;400;600;400;400;600;600;400;400;600
400;600;400;400;600;600;600;600;600;600;600;400
600;400;400;600;400;600;600;600;600;600;600;400

100;100;700;300;100;700;300;300;700;100;300;700
100;100;900;300;100;900;300;300;900;100;300;900
100;100;700;100;100;900;300;100;900;300;100;700
100;100;700;100;300;700;100;300;900;100;100;900
100;300;700;100;300;900;300;300;900;300;300;700
300;100;700;300;100;900;300;300;900;300;300;700
